change_article,change_id,new_article,treaty_nr,part_nr,title_nr,chapter_nr,section_nr,article_nr,new_id,remarks
Article 102a,3.3.6.1.X.102a,Article 98,3,3,7,1,X,98,NA,NA
Article 103,3.3.6.1.X.103,Article 99,3,3,7,1,X,99,NA,NA
Article 103a,3.3.6.1.X.103a,Article 100,3,3,7,1,X,100,NA,NA
Article 104,3.3.6.1.X.104,Article 101,3,3,7,1,X,101,NA,NA
Article 104a,3.3.6.1.X.104a,Article 102,3,3,7,1,X,102,NA,NA
Article 104b,3.3.6.1.X.104b,Article 103,3,3,7,1,X,103,NA,NA
Article 104c,3.3.6.1.X.104c,Article 104,3,3,7,1,X,104,NA,NA
Article 105,3.3.6.2.X.105,Article 105,3,3,7,2,X,105,NA,NA
Article 105a,3.3.6.2.X.105a,Article 106,3,3,7,2,X,106,NA,NA
Article 106,3.3.6.2.X.106,Article 107,3,3,7,2,X,107,NA,NA
Article 107,3.3.6.2.X.107,Article 108,3,3,7,2,X,108,NA,NA
Article 108,3.3.6.2.X.108,Article 109,3,3,7,2,X,109,NA,NA
Article 108a,3.3.6.2.X.108a,Article 110,3,3,7,2,X,110,NA,NA
Article 109,3.3.6.2.X.109,Article 111,3,3,7,2,X,111,NA,NA
Article 109a,3.3.6.3.X.109a,Article 112,3,3,7,3,X,112,NA,NA
Article 109b,3.3.6.3.X.109b,Article 113,3,3,7,3,X,113,NA,NA
Article 109c,3.3.6.3.X.109c,Article 114,3,3,7,3,X,114,NA,NA
Article 109d,3.3.6.3.X.109d,Article 115,3,3,7,3,X,115,NA,NA
Article 109e,3.3.6.4.X.109e,Article 116,3,3,7,4,X,116,NA,NA
Article 109f,3.3.6.4.X.109f,Article 117,3,3,7,4,X,117,NA,NA
Article 109g,3.3.6.4.X.109g,Article 118,3,3,7,4,X,118,NA,NA
Article 109h,3.3.6.4.X.109h,Article 119,3,3,7,4,X,119,NA,NA
Article 109i,3.3.6.4.X.109i,Article 120,3,3,7,4,X,120,NA,NA
Article 109j,3.3.6.4.X.109j,Article 121,3,3,7,4,X,121,NA,NA
Article 109k,3.3.6.4.X.109k,Article 122,3,3,7,4,X,122,NA,NA
Article 109l,3.3.6.4.X.109l,Article 123,3,3,7,4,X,123,NA,NA
Article 109m,3.3.6.4.X.109m,Article 124,3,3,7,4,X,124,NA,NA
Article 109n,3.3.6a.X.X.109n,Article 125,3,3,8,X,X,125,NA,New Article introduced by the Treaty of Amsterdam
Article 109o,3.3.6a.X.X.109o,Article 126,3,3,8,X,X,126,NA,New Article introduced by the Treaty of Amsterdam
Article 109p,3.3.6a.X.X.109p,Article 127,3,3,8,X,X,127,NA,New Article introduced by the Treaty of Amsterdam
